m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0,371,120,0,0,740,493,769432
1009,1000,H_MUL,137,0,378,149,0,0,758,487,496552
1009,1000,H_FOLD,137,0,368,136,0,0,751,488,589791
1009,1000,H_DIV,271828,0,376,146,0,0,761,509,315992
1009,1000,H_MUL,271828,0,354,111,0,0,736,483,316769
1009,1000,H_FOLD,271828,0,358,112,0,0,732,475,430636
1009,1000,H_DIV,314159,0,360,138,0,0,750,491,266248
1009,1000,H_MUL,314159,0,368,129,0,0,760,490,168589
1009,1000,H_FOLD,314159,0,357,118,0,0,740,498,69404
1009,10000,H_DIV,137,0,8991,40503,0,0,29818,49537,769432
1009,10000,H_MUL,137,1,8991,40867,0,0,29934,49580,496552
1009,10000,H_FOLD,137,0,8991,40738,0,0,29990,49446,589791
1009,10000,H_DIV,271828,0,8991,40441,0,0,29727,49480,315992
1009,10000,H_MUL,271828,0,8991,40621,0,0,29594,49482,316769
1009,10000,H_FOLD,271828,0,8991,40499,0,0,29722,49382,430636
1009,10000,H_DIV,314159,0,8991,40153,0,0,29323,49668,266248
1009,10000,H_MUL,314159,0,8992,40257,0,0,29747,49493,168589
1009,10000,H_FOLD,314159,0,8991,40791,0,0,29765,49664,69404
1009,100000,H_DIV,137,44,98991,4856916,28,58,2526697,4955195,769432
1009,100000,H_MUL,137,38,98991,4857715,27,58,2528449,4957555,496552
1009,100000,H_FOLD,137,39,98991,4855610,28,67,2525805,4956099,589791
1009,100000,H_DIV,271828,34,98991,4855421,22,49,2528398,4954440,315992
1009,100000,H_MUL,271828,42,98991,4853163,25,53,2524557,4954936,316769
1009,100000,H_FOLD,271828,36,98991,4854720,25,58,2524974,4954507,430636
1009,100000,H_DIV,314159,38,98991,4857124,25,61,2526665,4956266,266248
1009,100000,H_MUL,314159,40,98991,4853400,27,51,2526840,4956029,168589
1009,100000,H_FOLD,314159,58,98991,4858412,40,73,2528074,4953129,69404
10007,1000,H_DIV,137,0,45,1,0,0,530,52,925423
10007,1000,H_MUL,137,0,50,1,0,0,517,51,26304
10007,1000,H_FOLD,137,0,230,47,0,0,636,276,168199
10007,1000,H_DIV,271828,0,55,3,0,0,531,53,657210
10007,1000,H_MUL,271828,0,44,1,0,0,523,53,650024
10007,1000,H_FOLD,271828,0,218,40,0,0,622,258,514048
10007,1000,H_DIV,314159,0,60,10,0,0,545,50,132203
10007,1000,H_MUL,314159,0,45,1,0,0,525,51,584814
10007,1000,H_FOLD,314159,0,218,46,0,0,635,280,848269
10007,10000,H_DIV,137,0,3697,1283,0,0,7482,4979,925423
10007,10000,H_MUL,137,0,3716,1392,0,0,7533,4994,26304
10007,10000,H_FOLD,137,0,7793,19776,0,0,19008,27231,168199
10007,10000,H_DIV,271828,0,3645,1361,0,0,7507,4946,657210
10007,10000,H_MUL,271828,0,3658,1320,0,0,7440,5027,650024
10007,10000,H_FOLD,271828,0,7798,19335,0,0,18526,27227,514048
10007,10000,H_DIV,314159,0,3720,1361,0,0,7542,5019,132203
10007,10000,H_MUL,314159,0,3644,1305,0,0,7478,4950,584814
